language,level,context,subcontext,dialogue_txt,side,order_id,special_words
Spanish,B1,Housing conditions,Delivery of packages,"Those are my feet, but I don't have that package, when was it?",A,7,
Spanish,B1,Housing conditions,Delivery of packages,About two weeks ago.,B,8,
Spanish,B1,Housing conditions,Delivery of packages,"I do remember that package, but number 8 came and collected it.",A,9,
Spanish,B1,Housing conditions,Delivery of packages,Why would she collect my package?,B,10,
Spanish,B1,Housing conditions,Delivery of packages,"Since I work from home, I collect the packages for the whole apartment block. I get at least two for her a week. I'm not sure why she didn't deliver it to you when she saw it wasn't hers. I'm really sorry about that.",A,11,por lo menos
Spanish,B1,Housing conditions,Delivery of packages,"Okay, thank you for telling me. I'll go to her door and ask.",B,12,
Spanish,B1,Housing conditions,Delivery of packages,"I hope you find it, I'll be more careful next time.",A,13,cuidado
Spanish,A2,Weather and weather conditions,Clothing for weather,"Hello, I'm back.",A,1,
Spanish,A2,Weather and weather conditions,Clothing for weather,"Welcome home. Just in time, I'm about to leave now.",B,2,justo a tiempo
Spanish,A2,Weather and weather conditions,Clothing for weather,"You should wear a jacket, it's cold today.",A,3,
Spanish,A2,Weather and weather conditions,Clothing for weather,Is it? But it is sunny.,B,4,
Spanish,A2,Weather and weather conditions,Clothing for weather,The sky is clear but it's very windy.,A,5,
Spanish,A2,Weather and weather conditions,Clothing for weather,I'll bring a scarf too.,B,6,bufanda
Spanish,A2,Weather and weather conditions,Clothing for weather,Where are you going?,A,7,
Spanish,A2,Weather and weather conditions,Clothing for weather,"I'm going to the supermarket, do you want anything?",B,8,
Spanish,A2,Weather and weather conditions,Clothing for weather,"We don't have any milk, can you get some.",A,9,
Spanish,A2,Weather and weather conditions,Clothing for weather,"Sure, see you in a bit.",B,10,
Spanish,A2,Weather and weather conditions,Clothing for weather,Bye.,A,11,
Spanish,B2,Socialising in the country,No show date,Hi Peter. How was your weekend?,A,1,
Spanish,B2,Socialising in the country,No show date,Could have been better.,B,2,
Spanish,B2,Socialising in the country,No show date,What happened?,A,3,
Spanish,B2,Socialising in the country,No show date,I was supposed to go on a date but she ghosted me.,B,4,una fecha / me desertó
Spanish,B2,Socialising in the country,No show date,That's awful.,A,5,
Spanish,B2,Socialising in the country,No show date,"She seemed keen but then on the day I just didn't hear from her at all. Such a shame because we really clicked, we like the same music and we had a lot to talk about. ",B,6,entusiasta / Una pena
Spanish,B2,Socialising in the country,No show date,Do you have a picture of her?,A,7,
Spanish,B2,Socialising in the country,No show date,Here,B,8,
Spanish,B2,Socialising in the country,No show date,"Oh wow, she looks like a model. Are you sure she wasn't a catfish.",A,9,
Spanish,B2,Socialising in the country,No show date,"I didn't think about it, I guessed she was real when she agreed to meet up. You could be right.",B,10,
Spanish,B2,Socialising in the country,No show date,"Best to just forget about it, there's plenty more fish in the sea.",A,11,hay muchos más peces en el mar 
